#File format: word,sPoint,nPoint,yPoint

#Sayori's winning words
幸福,3,2,1
悲哀,3,2,1
死,3,1,2
悲劇,3,1,2
孤独,3,1,2
愛,3,2,1
冒険,3,2,1
甘い,3,2,1
興奮,3,2,1
花火,3,2,1
ロマンス,3,2,1
涙,3,1,2
鬱病,3,1,2
ハート,3,2,1
結婚,3,2,1
熱情,3,2,1
子供の頃,3,2,1
戯れ,3,2,1
色,3,2,1
希望,3,1,2
友達,3,2,1
家族,3,2,1
パーティ,3,2,1
休暇,3,2,1
怠惰,3,2,1
白昼夢,3,1,2
苦痛,3,1,2
休日,3,2,1
ベッド,3,2,1
羽根,3,2,1
羞恥,3,1,2
恐怖,3,1,2
暖かい,3,2,1
花,3,2,1
元気づける,3,2,1
ダンス,3,2,1
歌う,3,2,1
泣く,3,1,2
笑う,3,2,1
闇,3,1,2
晴れ,3,2,1
雨雲,3,2,1
平静な,3,1,2
愚か,3,2,1
飛ぶ,3,2,1
素晴らしい,3,2,1
報われない,3,1,2
バラ,3,1,2
一緒に,3,2,1
約束,3,2,1
魅力,3,2,1
美しさ,3,2,1
陽気,3,2,1
笑顔,3,2,1
壊れた,3,1,2
貴重な,3,2,1
祈り,3,1,2
不器用,3,2,1
許し,3,1,2
自然,3,2,1
海,3,2,1
眩しさ,3,2,1
特別,3,2,1
音楽,3,2,1
幸運,3,2,1
不幸,3,1,2
熱心,3,2,1
温和な,3,1,2
喜び,3,1,2
日没,3,2,1
ホタル,3,2,1
虹,3,2,1
傷付ける,3,1,2
遊び,3,2,1
きらめき,3,2,1
傷跡,3,1,2
空っぽ,3,1,2
驚くほど,3,2,1
悲嘆,3,1,2
抱擁,3,1,2
並はずれた,3,2,1
最高,3,2,1
敗北,3,1,2
絶望,3,1,2
悲惨,3,1,2
宝物,3,2,1
至福,3,2,1
記憶,3,2,1

#Natsuki's words
愛らしい,2,3,1
ふわふわ,2,3,1
ピュア,1,3,2
キャンディ,2,3,1
買い物,2,3,1
子犬,2,3,1
猫,2,3,1
雲,2,3,1
口紅,1,3,2
パフェ,2,3,1
イチゴ,2,3,1
ピンク,2,3,1
チョコレート,2,3,1
鼓動,1,3,2
キス,1,3,2
メロディ,2,3,1
リボン,2,3,1
ぴょんぴょん,2,3,1
ドキドキ,2,3,1
かわいい,2,3,1
スカート,2,3,1
ほお,2,3,1
Eメール,2,3,1
ねばねば,2,3,1
いきいき,2,3,1
ぴかぴか,2,3,1
かじる,2,3,1
ファンタジー,1,3,2
砂糖,2,3,1
くすくす,2,3,1
マシュマロ,2,3,1
ホップ,2,3,1
スキップ,2,3,1
平和,2,3,1
くるくる,2,3,1
うずまく,2,3,1
飴ん棒,2,3,1
パッと,2,3,1
あわ,2,3,1
ひそひそ,2,3,1
夏,2,3,1
滝,1,3,2
水着,2,3,1
バニラ,2,3,1
ヘッドホン,2,3,1
ゲーム,2,3,1
ソックス,2,3,1
髪,2,3,1
運動場,2,3,1
パジャマ,1,3,2
毛布,1,3,2
ミルク,2,3,1
すねる,2,3,1
怒り,2,3,1
パパ,2,3,1
バレンタイン,2,3,1
ネズミ,1,3,2
口笛,2,3,1
ポチッと,2,3,1
うさぎ,2,3,1
アニメ,2,3,1
ジャンプ,2,3,1

#Yuri's words
決意,1,1,3
自殺,2,1,3
空想,2,1,3
隠し事,2,1,3
生命力,1,1,3
存在,2,1,3
燦然と,1,1,3
真紅,1,1,3
旋風,1,1,3
残像,1,1,3
眩暈,1,1,3
取り乱した,1,1,3
本質,2,1,3
周囲,2,1,3
満天の星,2,1,3
混乱,1,1,3
汚染,1,1,3
知的,1,1,3
分析,1,1,3
エントロピー,1,1,3
活発,1,1,3
異様,2,1,3
不一致,1,1,3
憤怒,2,1,3
天賦の,2,1,3
虐殺,2,1,3
哲学,1,1,3
気まぐれ,1,1,3
執着,1,1,3
霊気,2,1,3
不安定,1,1,3
地獄,2,1,3
無能,2,1,3
運命,2,1,3
確実,1,1,3
苦悶,2,1,3
相違,1,1,3
制御不能,2,1,3
極端,1,1,3
逃避,2,1,3
夢,2,2,3
災害,2,1,3
鮮明,2,1,3
震動,1,2,3
疑問,1,2,3
膿む,2,1,3
審判,1,1,3
檻,1,2,3
爆発,1,2,3
快楽,1,2,3
欲望,1,2,3
感覚,1,2,3
絶頂,1,2,3
電気,1,2,3
勘当,1,1,3
軽蔑,2,1,3
無限,2,1,3
永遠,2,1,3
時間,2,1,3
宇宙,2,1,3
果てしない,2,1,3
雨粒,2,1,3
切望,1,1,3
抑えられない,1,1,3
景色,2,1,3
肖像,2,1,3
旅行,2,1,3
貧弱,1,1,3
心配,2,1,3
恐ろしい,2,1,3
ホラー,2,1,3
憂鬱,2,1,3
洞察,2,1,3
償う,2,1,3
呼吸,1,2,3
捕虜,2,1,3
欲求,1,2,3
墓地,2,1,3
